,match_uid_question_0,match_uid_question_1,match_uid_question_10,match_uid_question_11,match_uid_question_12,match_uid_question_13,match_uid_question_14,match_uid_question_15,match_uid_question_2,match_uid_question_3,match_uid_question_4,match_uid_question_5,match_uid_question_6,match_uid_question_7,match_uid_question_8,match_uid_question_9,uid_question_0,uid_question_1,uid_question_10,uid_question_11,uid_question_12,uid_question_13,uid_question_14,uid_question_15,uid_question_2,uid_question_3,uid_question_4,uid_question_5,uid_question_6,uid_question_7,uid_question_8,uid_question_9,star_plus
2421,,,,,,,,,,,,,,,,,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,5.0
2422,Slightly agree,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,,,,,,,,,,,,,,,,,4.0
2423,Disagree,Neutral,Slightly agree,Neutral,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
2424,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,4.0
2425,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,1.5
2426,Disagree,Neutral,Agree,Agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Disagree,Slightly disagree,Disagree,Slightly agree,Agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,2.0
2427,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Neutral,Slightly agree,Agree,4.0
2428,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,3.25
2429,,,,,,,,,,,,,,,,,Slightly agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree,5.0
2430,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Slightly disagree,Disagree,Disagree,Agree,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,5.0
2431,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
2432,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Neutral,Neutral,Slightly disagree,Slightly disagree,Slightly agree,5.0
2433,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Neutral,Slightly agree,Agree,4.0
2434,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,3.0
2435,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,6.0
2436,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,5.0
2437,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Slightly agree,Disagree,Agree,Neutral,Slightly disagree,Slightly disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,5.0
2438,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,3.25
2439,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,5.0
2440,,,,,,,,,,,,,,,,,Slightly agree,Disagree,Slightly agree,Agree,Slightly disagree,Agree,Disagree,Slightly agree,Disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,4.0
2441,,,,,,,,,,,,,,,,,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Slightly agree,Slightly disagree,Agree,3.25
2442,Neutral,Slightly disagree,Neutral,Slightly disagree,Agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,5.0
2443,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Agree,Neutral,Disagree,Slightly agree,Neutral,Disagree,Slightly disagree,Neutral,,,,,,,,,,,,,,,,,2.0
2444,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,0.75
2445,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,5.0
2446,Disagree,Slightly disagree,Neutral,Agree,Neutral,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Neutral,Disagree,Neutral,Agree,,,,,,,,,,,,,,,,,3.25
2447,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,5.0
2448,Disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Neutral,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2449,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Neutral,Agree,2.0
2450,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Neutral,Neutral,Slightly disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
2451,,,,,,,,,,,,,,,,,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,5.0
2452,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,4.0
2453,Slightly disagree,Neutral,Slightly disagree,Neutral,Agree,Agree,Neutral,Slightly agree,Neutral,Agree,Neutral,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
2454,Disagree,Disagree,Slightly disagree,Neutral,Agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,2.0
2455,Disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,,,,,,,,,,,,,,,,,4.0
2456,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,2.5
2457,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,2.0
2458,,,,,,,,,,,,,,,,,Disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,5.0
2459,,,,,,,,,,,,,,,,,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Neutral,Neutral,Slightly agree,1.0
2460,Disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Neutral,Agree,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2461,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,5.0
2462,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
2463,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,Disagree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,5.0
2464,Slightly agree,Agree,Disagree,Agree,Slightly agree,Slightly disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,2.0
2465,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,5.0
2466,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Agree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Disagree,Slightly disagree,Agree,2.0
2467,Neutral,Slightly agree,Neutral,Neutral,Neutral,Agree,Slightly agree,Disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Slightly agree,Agree,,,,,,,,,,,,,,,,,2.0
2468,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
2469,Disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Neutral,,,,,,,,,,,,,,,,,1.0
2470,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,1.0
2471,,,,,,,,,,,,,,,,,Slightly agree,Agree,Disagree,Neutral,Agree,Slightly agree,Disagree,Neutral,Agree,Slightly agree,Disagree,Disagree,Slightly disagree,Neutral,Disagree,Neutral,2.5
2472,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,2.75
2473,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,5.0
2474,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Slightly disagree,,,,,,,,,,,,,,,,,5.0
2475,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Slightly disagree,4.0
2476,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Slightly disagree,,,,,,,,,,,,,,,,,4.0
2477,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
2478,Slightly agree,Slightly agree,Agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Disagree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,2.5
2479,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Neutral,Agree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Disagree,Neutral,,,,,,,,,,,,,,,,,5.0
2480,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2481,Slightly agree,Agree,Disagree,Agree,Slightly agree,Slightly disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,2.5
2482,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,4.0
2483,Slightly disagree,Neutral,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Neutral,Neutral,Slightly disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2484,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Slightly agree,2.75
2485,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Slightly agree,3.75
2486,Disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,1.0
2487,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Slightly agree,Agree,Slightly agree,Neutral,Agree,Agree,6.0
2488,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2489,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,3.25
2490,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,2.5
2491,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Slightly disagree,Agree,Slightly agree,Disagree,Neutral,5.0
2492,Slightly agree,Neutral,Slightly agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
2493,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Neutral,Slightly agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,4.0
2494,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2495,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,5.0
2496,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,3.0
2497,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,2.0
2498,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Neutral,Neutral,Neutral,Agree,Slightly agree,Disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Slightly agree,Agree,5.0
2499,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Disagree,Agree,,,,,,,,,,,,,,,,,2.0
2500,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Neutral,Agree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
2501,Slightly disagree,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Neutral,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Agree,,,,,,,,,,,,,,,,,5.0
2502,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Neutral,Neutral,Neutral,Agree,Slightly agree,Disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Slightly agree,Agree,5.0
2503,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
2504,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Agree,Agree,Neutral,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Slightly agree,2.0
2505,Slightly disagree,Disagree,Agree,Disagree,Disagree,Agree,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Slightly agree,Neutral,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
2506,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2507,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,1.25
2508,Disagree,Disagree,Slightly disagree,Neutral,Agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,4.0
2509,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,4.0
2510,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,3.0
2511,Disagree,Disagree,Agree,Neutral,Agree,Slightly agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Slightly disagree,Agree,Agree,,,,,,,,,,,,,,,,,3.0
2512,Disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,4.0
2513,Disagree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Agree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
2514,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Slightly agree,Disagree,Disagree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
2515,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Slightly disagree,3.25
2516,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Agree,Agree,Neutral,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Slightly agree,5.0
2517,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,2.0
2518,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,3.0
2519,Neutral,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,3.0
2520,,,,,,,,,,,,,,,,,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Neutral,Slightly disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly agree,4.0
2521,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Slightly agree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,2.5
2522,,,,,,,,,,,,,,,,,Neutral,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,2.0
2523,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Agree,3.25
2524,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,4.0
2525,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,4.0
2526,Neutral,Neutral,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Disagree,Agree,Neutral,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,4.0
2527,Neutral,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.5
2528,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Slightly disagree,Agree,5.0
2529,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2530,,,,,,,,,,,,,,,,,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Agree,Neutral,Disagree,Slightly agree,Neutral,Disagree,Slightly disagree,Neutral,5.0
2531,Disagree,Disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
2532,Disagree,Slightly disagree,Slightly agree,Agree,Disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.0
2533,Disagree,Neutral,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,2.0
2534,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Disagree,Agree,4.0
2535,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Slightly disagree,Agree,Slightly agree,Disagree,Neutral,,,,,,,,,,,,,,,,,2.5
2536,Disagree,Disagree,Disagree,Disagree,Slightly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,1.75
